mapa_maestro_citas_paginas
Cita_Original,Tipo,Categoria,Pagina_PDF,Citekey_Zotero
"(Abrams, 1988)",Parentética,Automatizable,23,[@testKey1]
"(Bourdieu, 1998)",Parentética,Automatizable,30,[@testKey2]
"(Castañeda y Elbittar, 2013)",Parentética,Automatizable,29,[@testKey3]
"(Castañeda, 2024)",Parentética,Automatizable,No encontrada,[@testKey100]
"(Graeber, 2018)",Parentética,Automatizable,No encontrada,[@testKey100]
"(Gupta, 2012)",Parentética,Automatizable,25,[@testKey4]
"(Han, 2014)",Parentética,Automatizable,28,[@testKey5]
"(Hilbert, 2011)",Parentética,Automatizable,28,[@testKey6]
"(Howard & Hussain, 2013)",Parentética,Automatizable,No encontrada,[@testKey100]
"(INEGI, 2024)",Parentética,Automatizable,28,[@testKey7]
"(Lloyd, 2020)",Parentética,Automatizable,32,[@testKey8]
"(Mariscal y Rivera, 2007)",Parentética,Automatizable,30,[@testKey9]
"(Ragnedda y Ruiu, 2017)",Parentética,Automatizable,28,[@testKey10]
"(Reynoso, 2014)",Parentética,Automatizable,32,[@testKey11]
"(Sassen, 2002)",Parentética,Automatizable,31,[@testKey12]
"(Scott, 1998)",Parentética,Automatizable,"23, 31",[@testKey13]
Castells (2009),Narrativa,Automatizable,29,[@testKey14]
Couldry y Mejías (2019),Narrativa,Automatizable,29,[@testKey15]
Douglass North (1995),Narrativa,Automatizable,24,[@testKey16]
Elias y Scotson (2015),Narrativa,Automatizable,30,[@testKey17]
Mary Douglas (1986),Narrativa,Automatizable,24,[@testKey18]
Scott (1998),Narrativa,Automatizable,25,[@testKey19]
