Cita_Original,Tipo,Categoria,Pagina_PDF,Citekey_Zotero
"(Abrams, 1988)",Parentética,Automatizable,22,
"(Agudo Sanchíz, 2010)",Parentética,Automatizable,No encontrada,
"(Agudo Sanchíz, 2014)",Parentética,Automatizable,No encontrada,
"(Agudo Sanchíz, 2015)",Parentética,Automatizable,No encontrada,
"(Agudo Sanchíz, 2023)",Parentética,Automatizable,No encontrada,
"(Arteaga, 2016)",Parentética,Automatizable,"77, 78",
"(Azevedo & Torres, 2020)",Parentética,Automatizable,78,
"(Bandeira & Rubaii, 2016)",Parentética,Automatizable,No encontrada,
"(Barros & Tavares, 2022)",Parentética,Automatizable,84,
"(Bourdieu, 1998)",Parentética,Automatizable,29,
"(Bravo, 2024)",Parentética,Automatizable,"74, 76",
"(Bustamante, 1990)",Parentética,Automatizable,No encontrada,
"(CONEVAL, 2021)",Parentética,Automatizable,No encontrada,
"(CONEVAL, 2024)",Parentética,Automatizable,No encontrada,
"(Cadavid, 2018)",Parentética,Automatizable,74,
"(Cadena & López, 2012)",Parentética,Automatizable,79,
"(Cantar, 2021)",Parentética,Automatizable,"74, 83",
"(Castañeda y Elbittar, 2013)",Parentética,Automatizable,28,
"(Castañeda, 2024)",Parentética,Automatizable,No encontrada,
"(Castro-Gómez, 2010)",Parentética,Automatizable,No encontrada,
"(Cohen y Franco, 2005)",Parentética,Automatizable,No encontrada,
"(Cordoncillo, 2023)",Parentética,Automatizable,84,
"(Coronell, 2010)",Parentética,Automatizable,No encontrada,
"(Creswell y Creswell, 2014)",Parentética,Automatizable,No encontrada,
"(Danani, 2017)",Parentética,Automatizable,No encontrada,
"(Espinosa, 2013)",Parentética,Automatizable,No encontrada,
"(Fatoric & Daly, 2023)",Parentética,Automatizable,82,
"(Fernández-Laso & Ronco, 2022)",Parentética,Automatizable,76,
"(Ferrarotti, 2012)",Parentética,Automatizable,No encontrada,
"(Foucault, 1984)",Parentética,Automatizable,116,
"(Foucault, 1999)",Parentética,Automatizable,No encontrada,
"(Fracasso & García, 2019)",Parentética,Automatizable,"74, 83, 84",
"(Gallé, 2016)",Parentética,Automatizable,74,
"(García, 2021)",Parentética,Automatizable,77,
"(Gil Villegas, 2000)",Parentética,Automatizable,No encontrada,
