Cita_Original,Tipo,Categoria,Pagina_PDF,Citekey_Zotero
"(Albores, 1995)",Parentética,Automatizable,No rastreado aún,
"(Bastida, 2017)",Parentética,Automatizable,No rastreado aún,
"(Blanc, 2010)",Parentética,Automatizable,No rastreado aún,
"(Bolados y Sánchez, 2017)",Parentética,Automatizable,No rastreado aún,
"(Bonneuil, 2017)",Parentética,Automatizable,No rastreado aún,
"(Ceballos, 2003)",Parentética,Automatizable,No rastreado aún,
"(Cedillo, 1999, pp. 24-26)",Parentética,Revision_Manual,No rastreado aún,
"(Champo,2020, p.108)",Parentética,Revision_Manual,No rastreado aún,
"(Cid del Prado, 2021)",Parentética,Automatizable,No rastreado aún,
"(CNDH, 2016)",Parentética,Automatizable,No rastreado aún,
"(CNDH, 2017)",Parentética,Automatizable,No rastreado aún,
"(CNDH, 2024)",Parentética,Automatizable,No rastreado aún,
"(Collins, 2015)",Parentética,Automatizable,No rastreado aún,
"(Comalac, 2025)",Parentética,Automatizable,No rastreado aún,
"(Delabarre, 2022)",Parentética,Automatizable,No rastreado aún,
"(Deutz, 2023)",Parentética,Automatizable,No rastreado aún,
"(DOF, 2017)",Parentética,Automatizable,No rastreado aún,
"(DOF, 2020)",Parentética,Automatizable,No rastreado aún,
"(DOF, 2024)",Parentética,Automatizable,No rastreado aún,
"(El Salto Diario, 2024)",Parentética,Automatizable,No rastreado aún,
"(Espeitx, 1996)",Parentética,Automatizable,No rastreado aún,
"(Estenssoro, 2021)",Parentética,Automatizable,No rastreado aún,
"(Fernández -- Rampal, 1998)",Parentética,Automatizable,No rastreado aún,
"(Ferrer , 2011)",Parentética,Automatizable,No rastreado aún,
"(Ferrer, 2011)",Parentética,Automatizable,No rastreado aún,
"(Gaceta Municipal, 2023)",Parentética,Automatizable,No rastreado aún,
"(García, 1999)",Parentética,Automatizable,No rastreado aún,
"(Gobierno del Estado de México, 2018)",Parentética,Automatizable,No rastreado aún,
"(Gómez C, 2013)",Parentética,Automatizable,No rastreado aún,
"(González de Molina y Guzmán, 2006)",Parentética,Automatizable,No rastreado aún,
"(González, 2019a)",Parentética,Automatizable,No rastreado aún,
"(González, 2019b)",Parentética,Automatizable,No rastreado aún,
"(Gramaglia, 2023)",Parentética,Automatizable,No rastreado aún,
"(Gupta, 2024)",Parentética,Automatizable,No rastreado aún,
"(Hankivsky, 2014)",Parentética,Automatizable,No rastreado aún,
"(Herrero, 2017)",Parentética,Automatizable,No rastreado aún,
"(Hipólito, 2022)",Parentética,Automatizable,No rastreado aún,
"(INEGI, 2015)",Parentética,Automatizable,No rastreado aún,
"(INEGI, 2020)",Parentética,Automatizable,No rastreado aún,
"(INEGI, 2021)",Parentética,Automatizable,No rastreado aún,
"(INEGI, 2024)",Parentética,Automatizable,No rastreado aún,
"(INEGI,2021)",Parentética,Automatizable,No rastreado aún,
"(Iracheta, 2016)",Parentética,Automatizable,No rastreado aún,
"(Jarquín, 2014)",Parentética,Automatizable,No rastreado aún,
"(Katz, 2019)",Parentética,Automatizable,No rastreado aún,
"(Latour, 2005)",Parentética,Automatizable,No rastreado aún,
"(México Evalúa, 2013)",Parentética,Automatizable,No rastreado aún,
"(México Evalúa, 2023)",Parentética,Automatizable,No rastreado aún,
"(México, 1972)",Parentética,Automatizable,No rastreado aún,
"(Moore y Patel, 2018)",Parentética,Automatizable,No rastreado aún,
"(Moore, 2010)",Parentética,Automatizable,No rastreado aún,
"(Moore, 2013)",Parentética,Automatizable,No rastreado aún,
"(Moreno y García, 2023)",Parentética,Automatizable,No rastreado aún,
"(Navarrete, 2021)",Parentética,Automatizable,No rastreado aún,
"(Paz, 2012)",Parentética,Automatizable,No rastreado aún,
"(PHB, 2020)",Parentética,Automatizable,No rastreado aún,
"(Pillado, 2013)",Parentética,Automatizable,No rastreado aún,
"(Pliego, 2023)",Parentética,Automatizable,No rastreado aún,
"(PND, 2001)",Parentética,Automatizable,No rastreado aún,
"(Rodríguez, 1996)",Parentética,Automatizable,No rastreado aún,
"(Schetingart, 1987)",Parentética,Automatizable,No rastreado aún,
"(Sebastien, 2022)",Parentética,Automatizable,No rastreado aún,
"(Secretaría de Economía, 2023)",Parentética,Automatizable,No rastreado aún,
"(Súmate, 2024)",Parentética,Automatizable,No rastreado aún,
"(Torres, 2014)",Parentética,Automatizable,No rastreado aún,
"(UAM, 2022)",Parentética,Automatizable,No rastreado aún,
"(Ulloa, 2019)",Parentética,Automatizable,No rastreado aún,
"(UNODC, 2006)",Parentética,Automatizable,No rastreado aún,
"(Van der Ploeg, 2010)",Parentética,Automatizable,No rastreado aún,
"(Vargas-Velázquez, 2007)",Parentética,Automatizable,No rastreado aún,
"(Villegas & Aguilar, 2023)",Parentética,Automatizable,No rastreado aún,
"(Vizcarra, 2020)",Parentética,Automatizable,No rastreado aún,
Andrea Staid (2023),Narrativa,Automatizable,No rastreado aún,
Arango (2011),Narrativa,Automatizable,No rastreado aún,
ASILEGAL (2020),Narrativa,Automatizable,No rastreado aún,
"Bobadilla-Soto (2011, p.1)",Narrativa,Automatizable,No rastreado aún,
Bruno Latour (2005),Narrativa,Automatizable,No rastreado aún,
Búsqueda (2021),Narrativa,Automatizable,No rastreado aún,
Capulhuac (2018),Narrativa,Automatizable,No rastreado aún,
CNDH (2016),Narrativa,Automatizable,No rastreado aún,
CNDH (2024),Narrativa,Automatizable,No rastreado aún,
Connor (2001),Narrativa,Automatizable,No rastreado aún,
Córdoba (2016),Narrativa,Automatizable,No rastreado aún,
Damonte (2015),Narrativa,Automatizable,No rastreado aún,
David Harvey (2003),Narrativa,Automatizable,No rastreado aún,
Foucault (1999),Narrativa,Automatizable,No rastreado aún,
Frost (1992),Narrativa,Automatizable,No rastreado aún,
García-Mendoza (2020),Narrativa,Automatizable,No rastreado aún,
Gerardo (2007),Narrativa,Automatizable,No rastreado aún,
Gobernación (2016),Narrativa,Automatizable,No rastreado aún,
Guido Galafassi (2016),Narrativa,Automatizable,No rastreado aún,
Hanna Arendt (2009),Narrativa,Automatizable,No rastreado aún,
Hanna Arent (2009),Narrativa,Automatizable,No rastreado aún,
Hernández y Mas (2019),Narrativa,Automatizable,No rastreado aún,
INEGI (2021),Narrativa,Automatizable,No rastreado aún,
INEGI (2024),Narrativa,Automatizable,No rastreado aún,
Ingold (2021),Narrativa,Automatizable,No rastreado aún,
Latour (2005),Narrativa,Automatizable,No rastreado aún,
León (2022),Narrativa,Automatizable,No rastreado aún,
Luigi (1999),Narrativa,Automatizable,No rastreado aún,
Mendoza (2022),Narrativa,Automatizable,No rastreado aún,
México Evalúa (2013),Narrativa,Automatizable,No rastreado aún,
Michel (1999),Narrativa,Automatizable,No rastreado aún,
Mujeres y Hombres (2006),Narrativa,Automatizable,No rastreado aún,
Para Boelens (2016),Narrativa,Automatizable,No rastreado aún,
Personas (2007),Narrativa,Automatizable,No rastreado aún,
"Pillado et al. (2013, p. 63)",Narrativa,Revision_Manual,No rastreado aún,
Ralph Satlein (1992),Narrativa,Automatizable,No rastreado aún,
Richard Sennet (2009),Narrativa,Automatizable,No rastreado aún,
Richard Sennett (2009),Narrativa,Automatizable,No rastreado aún,
Saskia Sassen (2017),Narrativa,Automatizable,No rastreado aún,
Sassen (2017),Narrativa,Automatizable,No rastreado aún,
Según Escalera et al. (2018),Narrativa,Revision_Manual,No rastreado aún,
Según Ulloa (2019),Narrativa,Automatizable,No rastreado aún,
Staid (2023),Narrativa,Automatizable,No rastreado aún,
Tim Ingold (2021),Narrativa,Automatizable,No rastreado aún,
Torres-Pérez (2023),Narrativa,Automatizable,No rastreado aún,
Tronto (2013),Narrativa,Automatizable,No rastreado aún,
UNODC (2006),Narrativa,Automatizable,No rastreado aún,
Víctor Toledo (2019),Narrativa,Automatizable,No rastreado aún,
Villalobos (2021),Narrativa,Automatizable,No rastreado aún,
Violencia (2007),Narrativa,Automatizable,No rastreado aún,
Wright (1983),Narrativa,Automatizable,No rastreado aún,
Wright Mills (1983),Narrativa,Automatizable,No rastreado aún,
Wright Mills (1993),Narrativa,Automatizable,No rastreado aún,
