Cita_Original,Tipo,Es_Compleja,Categoria
"(Abrams, 1988)",Parentética,FALSE,Automatizable
"(Agudo Sanchíz, 2010)",Parentética,FALSE,Automatizable
"(Agudo Sanchíz, 2014)",Parentética,FALSE,Automatizable
"(Agudo Sanchíz, 2015)",Parentética,FALSE,Automatizable
"(Agudo Sanchíz, 2023)",Parentética,FALSE,Automatizable
"(Arteaga, 2016)",Parentética,FALSE,Automatizable
"(Azevedo & Torres, 2020)",Parentética,FALSE,Automatizable
"(Bandeira & Rubaii, 2016)",Parentética,FALSE,Automatizable
"(Barros & Tavares, 2022)",Parentética,FALSE,Automatizable
"(Bourdieu, 1998)",Parentética,FALSE,Automatizable
"(Bravo, 2024)",Parentética,FALSE,Automatizable
"(Bustamante, 1990)",Parentética,FALSE,Automatizable
"(Cadavid, 2018)",Parentética,FALSE,Automatizable
"(Cadena & López, 2012)",Parentética,FALSE,Automatizable
"(Cantar, 2021)",Parentética,FALSE,Automatizable
"(Castañeda y Elbittar, 2013)",Parentética,FALSE,Automatizable
"(Castañeda, 2024)",Parentética,FALSE,Automatizable
"(Castro-Gómez, 2010)",Parentética,FALSE,Automatizable
"(Cohen y Franco, 2005)",Parentética,FALSE,Automatizable
"(CONEVAL, 2021)",Parentética,FALSE,Automatizable
"(CONEVAL, 2024)",Parentética,FALSE,Automatizable
"(Cordoncillo, 2023)",Parentética,FALSE,Automatizable
"(Coronell, 2010)",Parentética,FALSE,Automatizable
"(Creswell y Creswell, 2014)",Parentética,FALSE,Automatizable
"(Danani, 2017)",Parentética,FALSE,Automatizable
"(Espinosa, 2013)",Parentética,FALSE,Automatizable
"(Fatoric & Daly, 2023)",Parentética,FALSE,Automatizable
"(Fernández-Laso & Ronco, 2022)",Parentética,FALSE,Automatizable
"(Ferrarotti, 2012)",Parentética,FALSE,Automatizable
"(Foucault, 1984)",Parentética,FALSE,Automatizable
"(Foucault, 1999)",Parentética,FALSE,Automatizable
"(Fracasso & García, 2019)",Parentética,FALSE,Automatizable
"(Gallé, 2016)",Parentética,FALSE,Automatizable
"(García, 2021)",Parentética,FALSE,Automatizable
"(Gil Villegas, 2000)",Parentética,FALSE,Automatizable
"(Gobierno de México, 2019)",Parentética,FALSE,Automatizable
"(Godelier, 1995)",Parentética,FALSE,Automatizable
